Division Name,Product,Question Type,Question,Expected Answer,SuperAI_Response,Pass/Fail/DataMissing,Reason
Nobelis,Nobeglar,indication,For which patients is Nobeglar indicated?,,,,
Nobelis,Nobeglar,mechanism,"According to the document, what is the role of basal Insulin Glargine in blood glucose control?",,,,
Nobelis,Nobeglar,market table,"In the Glargine Market table, which corporation is listed for the brand NOBEGLAR?",,,,
Nobelis,Zukanorm,composition,What is the composition of Zukanorm?,,,,
Nobelis,Zukanorm,dosage,What is the recommended dosage for Zukanorm?,,,,
Nobelis,Zukanorm,usp,What brand advantage statement is given for Zukanorm regarding its market presence and prescription volume?,,,,
Nobelis,Zukanorm M 500,composition,What is the composition of Zukanorm M 500?,,,,
Nobelis,Zukanorm M 500,mrp,"What are the pack size, strip MRP, and MRP per tablet for ZUKANORM-M 500?",,,,
Nobelis,Zukanorm M 1000,composition,What is the composition of Zukanorm M 1000?,,,,
Nobelis,Zukanorm M SR 1000,mrp,"What are the pack size, strip MRP, and MRP per tablet for ZUKANORM-M SR 1000?",,,,
Nobelis,Zukanorm DM 500,composition,What is the composition of Zukanorm DM 500?,,,,
Nobelis,Zukanorm DM 500,dosage,What is the recommended dosage for Zukanorm DM?,,,,
Nobelis,Zukanorm DM 500,usp,What USP claim is stated for Zukanorm DM?,,,,
Nobelis,JALRA-M,competitor table lookup,"Which company markets JALRA-M, and what are its MRP per tablet for M 500 and M 1000?",,,,
Nobelis,ZUKANORM-DM 1000,mrp,"What are the pack size, strip MRP, and MRP per tablet for ZUKANORM-DM 1000?",,,,
